training error,test error
0.1192,0.1248
0.1192,0.1248
0.1192,0.1248
0.1192,0.1248
0.1124,0.1174
0.1124,0.1174
0.1166,0.1194
0.115,0.119
0.1156,0.1184
0.1128,0.1162
0.1098,0.112
0.1098,0.112
0.1072,0.1092
0.1076,0.11
0.108,0.1102
0.1064,0.1086
0.106,0.1076
0.1056,0.1084
0.1046,0.1074
0.1056,0.1086
0.1048,0.1066
0.1054,0.1072
0.1044,0.1074
0.1062,0.1064
0.1062,0.1064
0.1062,0.1064
0.105,0.1064
0.1058,0.1056
0.1046,0.1052
0.106,0.1056
0.1062,0.1056
0.1052,0.105
0.104,0.1056
0.105,0.105
0.1054,0.1048
0.1048,0.1054
0.1046,0.1046
0.1044,0.1048
0.1042,0.1048
0.104,0.105
0.1038,0.1052
0.1032,0.1054
0.1034,0.1056
0.1034,0.1064
0.1028,0.1064
0.1034,0.1062
0.1038,0.106
0.1034,0.1062
0.1036,0.106
0.1036,0.1062
0.1032,0.1062
0.1034,0.1064
0.1036,0.1064
0.1034,0.1068
0.1034,0.1066
0.1032,0.1064
0.1034,0.1066
0.1034,0.1066
0.1036,0.1066
0.1034,0.1066
0.1034,0.1064
0.1032,0.1066
0.1032,0.1066
0.1034,0.1066
0.1032,0.1066
0.1034,0.1066
0.1034,0.107
0.1034,0.1066
0.1032,0.1068
0.1032,0.107
0.1034,0.1068
0.1032,0.107
0.1032,0.1068
0.1032,0.1072
0.103,0.1068
0.103,0.1068
0.103,0.1068
0.103,0.1068
0.103,0.1068
0.1028,0.1068
0.1028,0.1068
0.1028,0.1074
0.103,0.1072
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.103,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1032,0.107
0.103,0.1072
0.1032,0.1068
0.103,0.1072
0.103,0.107
0.1028,0.1072
0.103,0.107
0.1032,0.107
0.103,0.1074
0.103,0.1068
0.103,0.1074
0.1032,0.1068
0.103,0.1072
0.103,0.107
0.1032,0.1066
0.1028,0.107
0.1026,0.1068
0.1026,0.1068
0.1026,0.1068
0.1026,0.1068
0.1028,0.1066
0.1026,0.1068
0.1028,0.1068
0.103,0.1066
0.1026,0.1068
0.1028,0.107
0.1028,0.1068
0.103,0.1068
0.1028,0.1068
0.103,0.1068
0.1028,0.1068
0.1028,0.1068
0.1028,0.107
0.103,0.107
0.1026,0.1068
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.103,0.107
0.1028,0.107
0.1028,0.1072
0.103,0.1074
0.103,0.1074
0.103,0.1074
0.103,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1072
0.1028,0.1074
0.1028,0.107
0.1028,0.1074
0.1026,0.107
0.1028,0.1074
0.1028,0.107
0.1026,0.1068
0.1028,0.1068
0.1026,0.1068
0.1026,0.1068
0.1026,0.107
0.1028,0.1072
0.1026,0.1072
0.1026,0.107
0.1026,0.1072
0.1026,0.1068
0.1026,0.1066
0.1028,0.1072
0.1026,0.1072
0.1026,0.1074
0.1026,0.1072
0.1026,0.107
0.1026,0.1072
0.1026,0.107
0.1026,0.1072
0.1026,0.107
0.1028,0.1072
0.1026,0.107
0.1028,0.1068
0.1028,0.107
0.1028,0.1072
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1026,0.1066
0.1026,0.107
0.1026,0.1068
0.1026,0.107
0.1026,0.1068
0.1026,0.107
0.1026,0.1068
0.1026,0.107
0.1026,0.1068
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.1068
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.1072
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.1072
0.103,0.1072
0.1026,0.107
0.1028,0.107
0.1026,0.107
0.1028,0.1072
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.107
0.1028,0.1072
0.1028,0.107
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1026,0.107
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.1072
0.1028,0.107
0.1028,0.1072
0.1028,0.107
0.1028,0.1072
0.1028,0.1072
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
0.1028,0.1074
