training_error_ 2,test_error_2,training_error_ 4,test_error_4,training_error_ 6,test_error_6
0.0644,0.1614,0.069,0.1722,0.0632,0.1604
0.0572,0.1276,0.0618,0.1286,0.0602,0.1306
0.0348,0.135,0.0414,0.1418,0.0382,0.1436
0.0452,0.1274,0.047,0.1284,0.0442,0.1312
0.0294,0.1324,0.032,0.1352,0.0294,0.1386
0.0334,0.1296,0.0362,0.126,0.0334,0.1304
0.026,0.1286,0.0266,0.126,0.0254,0.1376
0.0302,0.1266,0.0312,0.1268,0.0278,0.1328
0.022,0.1296,0.024,0.1272,0.023,0.1382
0.0248,0.127,0.0292,0.1242,0.0246,0.1302
0.0202,0.1248,0.0224,0.1262,0.0214,0.1362
0.0234,0.1232,0.026,0.1244,0.0224,0.1322
0.0202,0.1234,0.0222,0.1236,0.019,0.1342
0.0222,0.125,0.0242,0.1236,0.0204,0.1292
0.0188,0.124,0.0212,0.1242,0.0188,0.1332
0.0204,0.1246,0.0224,0.1256,0.02,0.1316
0.0178,0.1238,0.0192,0.1266,0.0182,0.134
0.0186,0.126,0.0214,0.1254,0.0198,0.1318
0.0162,0.1236,0.019,0.1258,0.0176,0.1336
0.0178,0.125,0.0206,0.1242,0.0192,0.1328
0.0154,0.125,0.0182,0.1264,0.016,0.134
0.0168,0.125,0.019,0.1256,0.0166,0.1312
0.0156,0.124,0.0172,0.1262,0.0156,0.1336
0.0174,0.1248,0.0188,0.1258,0.017,0.1298
0.015,0.1232,0.0176,0.1256,0.0164,0.1302
0.016,0.1244,0.0188,0.1262,0.017,0.1294
0.015,0.1232,0.0162,0.1252,0.0158,0.1296
0.0162,0.1242,0.0176,0.1256,0.016,0.1302
0.0144,0.1214,0.016,0.1272,0.015,0.1302
0.0144,0.123,0.016,0.1252,0.0156,0.1292
0.0144,0.1218,0.015,0.1248,0.0148,0.1298
0.0146,0.1224,0.0162,0.1238,0.015,0.1304
0.0144,0.1222,0.015,0.123,0.015,0.1312
0.0146,0.123,0.0164,0.1238,0.015,0.1282
0.0144,0.1226,0.015,0.1238,0.015,0.1298
0.0144,0.1232,0.016,0.1222,0.0152,0.1288
0.0142,0.1232,0.0144,0.1236,0.0148,0.1296
0.0142,0.123,0.0152,0.1224,0.0148,0.128
0.0142,0.123,0.0146,0.1228,0.0146,0.128
0.0142,0.1238,0.0148,0.1236,0.0146,0.1266
0.0142,0.1242,0.0142,0.1236,0.0144,0.1276
0.0144,0.1234,0.0148,0.1238,0.0144,0.127
0.0138,0.123,0.0144,0.1232,0.014,0.1278
0.0138,0.1236,0.0144,0.1218,0.014,0.127
0.0138,0.123,0.0144,0.1238,0.0138,0.1274
0.014,0.1226,0.0144,0.123,0.0138,0.128
0.0138,0.1224,0.0142,0.1238,0.0138,0.128
0.0138,0.1226,0.0146,0.1232,0.0138,0.1278
0.0138,0.1238,0.0144,0.1232,0.0138,0.1278
0.014,0.1234,0.0146,0.123,0.014,0.1282
0.0138,0.1232,0.0142,0.1238,0.014,0.1274
0.0138,0.124,0.0144,0.123,0.014,0.1268
0.0138,0.124,0.0142,0.123,0.0138,0.1264
0.014,0.1246,0.0142,0.1214,0.014,0.1274
0.014,0.124,0.0142,0.122,0.0138,0.128
0.0142,0.1234,0.0142,0.1218,0.014,0.1276
0.0138,0.124,0.014,0.1216,0.0138,0.1282
0.014,0.1242,0.014,0.121,0.014,0.1276
0.0138,0.1242,0.0138,0.121,0.0138,0.1284
0.014,0.1234,0.0138,0.1212,0.0138,0.1266
0.0138,0.1236,0.0138,0.1212,0.0136,0.1292
0.0138,0.1234,0.0138,0.1212,0.0138,0.1276
0.0136,0.1234,0.0138,0.1208,0.0138,0.128
0.0136,0.1236,0.0138,0.1212,0.014,0.1262
0.0136,0.1234,0.0138,0.1224,0.0136,0.1266
0.0138,0.1244,0.0138,0.122,0.014,0.1264
0.0138,0.124,0.0138,0.1226,0.0136,0.1268
0.0138,0.1244,0.0138,0.1224,0.0138,0.1262
0.0136,0.1238,0.0138,0.1224,0.0136,0.1266
0.0136,0.1236,0.0138,0.1222,0.0138,0.1252
0.0136,0.1238,0.0138,0.1226,0.0136,0.1254
0.0136,0.124,0.0138,0.1222,0.0138,0.1252
0.0136,0.1236,0.0138,0.1222,0.0138,0.125
0.0136,0.1238,0.0138,0.1222,0.0138,0.1254
0.0136,0.1238,0.0138,0.1222,0.0136,0.1246
0.0136,0.1246,0.0138,0.1224,0.0138,0.1258
0.0136,0.1242,0.0138,0.1226,0.0136,0.1274
0.0136,0.124,0.0138,0.123,0.0138,0.1264
0.0136,0.1236,0.0138,0.123,0.0136,0.1266
0.0136,0.124,0.0138,0.122,0.0138,0.126
0.0136,0.1234,0.0136,0.122,0.0138,0.1264
0.0136,0.1232,0.0136,0.122,0.0138,0.1262
0.0136,0.1238,0.0136,0.1226,0.0138,0.1278
0.0136,0.1236,0.0136,0.1218,0.0138,0.1266
0.0136,0.123,0.0136,0.121,0.0138,0.1272
0.0136,0.1232,0.0136,0.1212,0.0138,0.127
0.0136,0.1232,0.0136,0.1206,0.0138,0.1272
0.0136,0.1226,0.0136,0.1216,0.014,0.1268
0.0136,0.1228,0.0136,0.121,0.0138,0.1272
0.0138,0.1234,0.0136,0.122,0.0138,0.1268
0.0138,0.123,0.0136,0.122,0.0136,0.1272
0.0138,0.1232,0.0136,0.1224,0.014,0.128
0.0138,0.1228,0.0136,0.1228,0.0138,0.128
0.0138,0.1228,0.0136,0.1232,0.0138,0.1272
0.0138,0.1226,0.0136,0.123,0.0136,0.128
0.0138,0.1226,0.0136,0.1232,0.0138,0.126
0.0138,0.1224,0.0136,0.123,0.0136,0.1262
0.0138,0.1218,0.0136,0.1224,0.0138,0.1256
0.0138,0.1222,0.0136,0.1234,0.0136,0.1258
0.0138,0.1222,0.0136,0.1226,0.0136,0.1248
0.0136,0.1224,0.0136,0.1226,0.0136,0.1256
0.0136,0.1216,0.0136,0.1224,0.0136,0.1256
0.0136,0.122,0.0136,0.1224,0.0136,0.1252
0.0136,0.122,0.0136,0.1222,0.0136,0.1256
0.0136,0.122,0.0136,0.1226,0.0136,0.1262
0.0136,0.1226,0.0136,0.1228,0.0136,0.1258
0.0136,0.1228,0.0136,0.122,0.0136,0.1266
0.0136,0.1228,0.0136,0.123,0.0136,0.126
0.0136,0.1226,0.0136,0.1228,0.0136,0.126
0.0136,0.122,0.0136,0.123,0.0136,0.1258
0.0136,0.1226,0.0136,0.122,0.0136,0.1264
